"Feb 25, 2021, 12 AMEDT",3.45,3.48,+0.81,"Nov 24, 2020, 12 AMEDT",1.7,2.06,+20.96,"Aug 25, 2020, 12 AMEDT",1.08,1.71,+58.92,"May 21, 2020, 12 AMEDT",0.5,0.67,+34.54
"Feb 11, 2021, 12 AMEDT",3.3,4.01,+21.7,"Oct 29, 2020, 12 AMEDT",1.8,3,+66.48,"Jul 30, 2020, 12 AMEDT",1.22,1.61,+31.64,"May 06, 2020, 12 AMEDT",1.57,1.91,+22.04
"Feb 03, 2021, 12 AMEDT",4.87,4.58,-5.95,"Oct 21, 2020, 12 AMEDT",8.04,8.84,+9.95,"Jul 22, 2020, 12 AMEDT",8.03,10.26,+27.72,"Apr 22, 2020, 12 AMEDT",7.73,9.14,+18.19
"Jan 14, 2021, 12 AMEDT",9.14,10.18,+11.38,"Oct 13, 2020, 12 AMEDT",7.8,9.22,+18.22,"Jul 17, 2020, 12 AMEDT",6.99,7.85,+12.26,"Apr 16, 2020, 12 AMEDT",6.36,6.6,+3.76
"Jan 27, 2021, 12 AMEDT",-1.8,-4.19,-133.3,"Oct 28, 2020, 12 AMEDT",-2.52,-1.39,+44.84,"Jul 29, 2020, 12 AMEDT",-2.54,-4.79,-88.51,"Apr 29, 2020, 12 AMEDT",-1.61,-1.7,-5.72
"Feb 24, 2021, 12 AMEDT",-4.28,-0.57,+86.67,"Nov 05, 2020, 12 AMEDT",14.13,12.27,-13.18,"Aug 06, 2020, 12 AMEDT",-10.29,-10.81,-5.07,"May 07, 2020, 12 AMEDT",5.64,3.77,-33.1
"Feb 11, 2021, 12 AMEDT",0.93,1.18,+27.02,"Oct 29, 2020, 12 AMEDT",0.75,0.88,+17.02,"Aug 05, 2020, 12 AMEDT",-0.45,-0.14,+69.16,"May 06, 2020, 12 AMEDT",0.5,0.77,+54.93
"Jan 26, 2021, 12 AMEDT",0.59,0.4,-32.55,"Oct 27, 2020, 12 AMEDT",0.51,0.58,+12.84,"Jul 28, 2020, 12 AMEDT",0.5,1.71,+244.06,"Apr 28, 2020, 12 AMEDT",0.81,3.2,+295.06
"Feb 03, 2021, 12 AMEDT",0.31,0.23,-26.52,"Oct 28, 2020, 12 AMEDT",0.25,0.37,+49.8,"Jul 29, 2020, 12 AMEDT",-0.02,0.08,+420,"Apr 29, 2020, 12 AMEDT",0.31,0.28,-10.83
"Feb 04, 2021, 12 AMEDT",1.42,1.46,+3.18,"Nov 05, 2020, 12 AMEDT",1.5,1.63,+9.03,"Aug 06, 2020, 12 AMEDT",1.48,1.63,+9.91,"May 07, 2020, 12 AMEDT",1.49,1.72,+15.75
"Mar 04, 2021, 12 AMEDT",6.56,6.61,+0.75,"Dec 10, 2020, 12 AMEDT",6.25,6.35,+1.62,"Sep 03, 2020, 12 AMEDT",5.24,5.4,+3.11,"Jun 04, 2020, 12 AMEDT",5.14,5.14,-0.02
"Feb 02, 2021, 12 AMEDT",0.71,0.73,+3.55,"Oct 30, 2020, 12 AMEDT",0.63,0.98,+55.56,"Aug 11, 2020, 12 AMEDT",2.09,2.15,+2.82,"May 08, 2020, 12 AMEDT",1.72,1.67,-3.02
"Sep 02, 2020, 12 AMUTC",0.32,0.67,+112.7,"Jun 09, 2020, 12 AMUTC",0.28,0.27,-3.91,"Mar 04, 2020, 12 AMUTC",0.5,0.48,-3.61,"Dec 05, 2019, 12 AMUTC",0.53,0.59,+12.38
"Jan 26, 2021, 12 AMEDT",0.98,1.08,+10.32,"Oct 27, 2020, 12 AMEDT",0.97,1,+2.77,"Jul 28, 2020, 12 AMEDT",0.6,1.06,+77.26,"Apr 28, 2020, 12 AMEDT",0.68,0.57,-16.05
"Feb 23, 2021, 12 AMEDT",0.21,0.26,+26.21,"Oct 29, 2020, 12 AMEDT",0.06,0.09,+42.86,"Jul 30, 2020, 12 AMEDT",0.02,0.05,+150,"Apr 30, 2020, 12 AMEDT",0.13,0.14,+6.06
"Feb 22, 2021, 12 AMEDT",0.74,0.83,+11.56,"Oct 19, 2020, 12 AMEDT",0.61,0.7,+15.51,"Jul 20, 2020, 12 AMEDT",0.52,0.66,+26.44,"Apr 20, 2020, 12 AMEDT",0.54,0.6,+10.7
"Mar 10, 2021, 12 AMEDT",0.84,0.84,+0.36,"Dec 09, 2020, 12 AMEDT",0.91,1.02,+12.21,"Sep 03, 2020, 12 AMEDT",0.6,0.63,+5.35,"Jun 03, 2020, 12 AMEDT",0.75,0.83,+10.08
"Jan 26, 2021, 12 AMEDT",2.86,5.35,+86.93,"Oct 22, 2020, 12 AMEDT",2.13,5.06,+137.22,"Jul 21, 2020, 12 AMEDT",-1.68,-2.21,-31.24,"Apr 23, 2020, 12 AMEDT",0.52,-3.1,-701.94
"Feb 05, 2021, 12 AMEDT",1.44,1.74,+20.58,"Nov 05, 2020, 12 AMEDT",1.13,1.51,+33.27,"Aug 06, 2020, 12 AMEDT",0.92,1.04,+13.54,"May 11, 2020, 12 AMEDT",1.43,1.62,+13.05
"Apr 01, 2021, 12 AMEDT",1.26,1.27,+1.11,"Dec 22, 2020, 12 AMEDT",1.14,1.42,+25,"Sep 24, 2020, 12 AMEDT",1.08,1.79,+65.89,"Jun 19, 2020, 12 AMEDT",0.04,0.03,-18.92
"Jan 26, 2021, 12 AMEDT",-1.94,-2.02,-4.12,"Oct 08, 2020, 12 AMEDT",-2.2,-2.19,+0.45,"Jul 10, 2020, 12 AMEDT",-2.26,-3.3,-45.82,"Mar 19, 2020, 12 AMEDT",0.27,0.22,-19.71
"Feb 09, 2021, 12 AMEDT",0.36,0.31,-13.89,"Oct 29, 2020, 12 AMEDT",0.47,0.67,+44.09,"Jul 30, 2020, 12 AMEDT",0.25,0.33,+33.06,"May 08, 2020, 12 AMEDT",0.33,0.35,+7.03
"Feb 02, 2021, 12 AMEDT",0.55,0.63,+13.72,"Nov 03, 2020, 12 AMEDT",0.37,0.43,+16.85,"Aug 31, 2020, 12 AMEDT",0.79,0.9,+13.92,"May 05, 2020, 12 AMEDT",0.48,0.5,+3.52
"Jan 29, 2021, 12 AMEDT",1.49,2.12,+42.57,"Oct 27, 2020, 12 AMEDT",1.18,1.34,+13.85,"Jul 31, 2020, 12 AMEDT",0.64,1.03,+59.94,"Apr 28, 2020, 12 AMEDT",1.69,1.6,-5.38
